Year,Month,news_category,keyword,headline,date,news_station,link
2022,Feb,การเมือง,กทม.,‘วิโรจน์’ลาออกส.ส.มีผล4ก.พ.พร้อมลงแข่งขัน‘ผู้ว่ากทม.’เต็มตัว,2022-02-03,workpoint,https://workpointtoday.com/wiroj-lakkhanaadisorn/
2022,Feb,การเมือง,เลือกตั้ง,“วิษณุ”ยันยุบสภาก่อนกฎหมายลูกเลือกตั้ง2ฉบับเสร็จยุ่งแน่บอกช้าสุดคือก.ย.,2022-02-02,ไทยรัฐ,https://www.thairath.co.th/news/politic/2304945
2022,Feb,การเมือง,เลือกตั้ง,นายกฯไม่ยืนยันเลือกตั้งใหญ่เกิดก่อนหรือหลังเลือกตั้งผู้ว่าฯกทม.,2022-02-03,ไทยรัฐ,https://www.thairath.co.th/news/politic/2305870
2022,Feb,การเมือง,อภิปราย,อนุทิน‘นางสีดา’บอกอภิปรายเปรียบเหมือนทำสงครามที่กรุงลงกาเพราะทุกฝ่ายต้องการลดความตึงเครียด,2022-02-18,The Standard,https://thestandard.co/anutin-say-debate-is-like-longa-war/
2022,Feb,การเมือง,อภิปราย,บทวิเคราะห์:อภิปราย152แค่หวังทุบให้น่วม,2022-02-03,ThaiPBS,https://www.thaipbs.or.th/news/content/312308
2022,Mar,การเมือง,กรุงเทพ,“วิษณุ”ระบุหลังครม.เคาะเลือกตั้งผู้ว่าฯกทม.เป็นหน้าที่กกต.ในการกำหนดวัน,2022-03-08,ไทยรัฐ,https://www.thairath.co.th/news/politic/2335571
2022,Mar,การเมือง,กรุงเทพ,"""อัศวิน""โพสต์ฯขออภัยทีมงานติดป้ายหาเสียงผู้ว่าฯกทม.ถี่เกินจน""ทัวร์ลง""",2022-03-29,ไทยรัฐ,https://www.thairath.co.th/news/politic/2354321
2022,Mar,การเมือง,ประยุทธ์,‘นิด้าโพล’ถามหนุนใครนั่งนายกฯอันดับหนึ่ง‘ยังหาเหมาะสมไม่ได้’‘พิธา’ที่สองตามด้วย‘ประยุทธ์’,2022-03-27,workpoint,https://workpointtoday.com/politics-pm27032565/
2022,Mar,การเมือง,บิ๊กตู่,"""สุเทพ""ยันเอาใจช่วย""บิ๊กตู่""ห่วงเจอปัญหา""โควิด-เศรษฐกิจ""รุมเร้า",2022-03-03,ไทยรัฐ,https://www.thairath.co.th/news/politic/2331865
2022,Mar,การเมือง,ผู้ว่าฯกทม.,สุชาติเผยพลังประชารัฐเคาะส่งส.ก.3เม.ย.นี้ไม่ก้าวล่วง-ขึ้นอยู่กับมติพรรคหนุนอัศวินลงชิงผู้ว่าฯกทม.,2022-03-23,The Standard,https://thestandard.co/suchat-chomklin-say-pprp-sending-within-3-april/
2022,Mar,การเมือง,ผู้ว่าฯกทม.,คนกรุงฯอยากได้ผู้ว่าฯกทม.-ส.ก.มีความซื่อสัตย์ขอแก้ปัญหาคอร์รัปชัน,2022-03-13,ไทยรัฐ,https://www.thairath.co.th/news/politic/2340476
2022,Mar,การเมือง,นายกฯ,นายกฯถกลับปมน้ำมันแพงปัดห้ามใช้รถยนต์แต่ขอช่วยประหยัดพลังงาน,2022-03-08,VoiceTV,https://voicetv.co.th/read/kjG-D0NVh
2022,Mar,การเมือง,นายกฯ,‘ก้าวไกล’ยื่นป.ป.ช.สอบเพิ่มหลังอภิปรายนายกฯกรณีปกปิดโรคอหิวาต์หมูระบาด,2022-03-08,workpoint,https://workpointtoday.com/politics-padipat832565/
2022,Mar,การเมือง,โควิด,เคาะจ่ายค่าเสี่ยงภัยโควิดเดือนละ500บาทอีก6เดือนให้กำนันผู้ใหญ่บ้านและเจ้าหน้าที่ที่เกี่ยวข้อง,2022-03-22,The Standard,https://thestandard.co/cabinet-approve-covid-risk-money-for-village-headman/
2022,Mar,การเมือง,โควิด,ครม.อนุมัติงบ8.4พันล้านบาทจัดซื้อยาแพ็กซ์โลวิดจากPfizerและจ่ายค่าเสี่ยงภัยผู้ปฏิบัติงานเกี่ยวเนื่องกับโควิด,2022-03-22,The Standard,https://thestandard.co/cabinet-approve-about-treatment-for-covid/
2022,Mar,การเมือง,รัฐบาล,“เสี่ยหนู”ชี้สปิริตพรรคร่วมรัฐบาลต้องผ่านฝ่ายค้านซักฟอก,2022-03-08,ไทยรัฐ,https://www.thairath.co.th/news/politic/2335570
2022,Mar,การเมือง,รัฐบาล,ค่าใช้จ่ายรัฐเพื่อลดค่าครองชีพพุ่ง5.4หมื่นล้าน 'รัฐบาล'เผยรายจ่ายช่วยประชาชน3โครงการ,2022-03-05,VoiceTV,https://voicetv.co.th/read/6kF1TZmOq
2022,Mar,การเมือง,เพื่อไทย,การุณ'โพสต์ระบายถูกบีบให้ออก'เพื่อไทย'เหตุซี้'สุดารัตน์'ลั่นไม่ทนนักรบห้องแอร์,2022-03-22,VoiceTV,https://voicetv.co.th/read/g5pvOqZfS
2022,Mar,การเมือง,เพื่อไทย,เทพไท'คาใจ'เพื่อไทย'ให้ส.ก.โชว์นโยบายแต่ไม่ส่งชิง'ผู้ว่าฯกทม.',2022-03-25,VoiceTV,https://voicetv.co.th/read/lED0EOewf
2022,Mar,การเมือง,ประชาชน,ส.ส.เพื่อไทยแนะ'ประยุทธ์'ปัดฝุ่นโครงการรถเมล์-รถไฟฟรีลดค่าครองชีพประชาชน,2022-03-12,VoiceTV,https://voicetv.co.th/read/jdYsvz0GJ
2022,Mar,การเมือง,ประชาชน,โฆษกรบ.อัด'จาตุรนต์'ดิสเครดิตไปวันๆไม่สนความเดือดร้อนประชาชน,2022-03-26,VoiceTV,https://voicetv.co.th/read/OSS8CprpB
2022,Mar,การเมือง,ครม.,AirTravelBubbleไทย-อินเดียได้ข้อสรุปแล้วครม.เห็นชอบจัดทำความตกลง,2022-03-01,ไทยรัฐ,https://www.thairath.co.th/news/politic/2329382
2022,Mar,การเมือง,ครม.,ครม.อนุมัติให้ใช้ที่ดินสปก.ทำศูนย์ธุรกิจEECภาคตะวันออก,2022-03-22,ThaiPBS,https://www.thaipbs.or.th/news/content/313869
2022,Mar,การเมือง,ส.ส.,ส.ส.เพื่อไทยแนะ'ประยุทธ์'ปัดฝุ่นโครงการรถเมล์-รถไฟฟรีลดค่าครองชีพประชาชน,2022-03-12,VoiceTV,https://voicetv.co.th/read/jdYsvz0GJ
2022,Mar,การเมือง,ส.ส.,"ศาลรธน.ไม่รับคำร้อง""วิรัช""ขอวินิจฉัยคำสั่งหยุดปฏิบัติหน้าที่ส.ส.ขัดรธน.",2022-03-30,ThaiPBS,https://www.thaipbs.or.th/news/content/314122
2022,Apr,การเมือง,กรุงเทพ,“สุชัชวีร์”โพสต์คลิปถามคุณภาพชีวิตคนกรุงฯลั่นพร้อมเป็นผู้ว่าฯกทม.ที่ใช้วิศวกรรมแก้ปัญหา,2022-04-30,ไทยรัฐ,https://www.thairath.co.th/news/politic/2381490
2022,Apr,การเมือง,กรุงเทพ,“เอ้สุชัชวีร์”ย้ำนโยบายเปลี่ยนกรุงเทพฯค้าขายคล่อง-เมืองต้องสะอาด,2022-04-07,ไทยรัฐ,https://www.thairath.co.th/news/politic/2362462
2022,Apr,การเมือง,นายกฯ,นายกฯเตรียมปรับเลิกตรวจRT-PCRผู้เดินทางเข้าไทยขอประเมินสงกรานต์ก่อน,2022-04-08,ไทยรัฐ,https://www.thairath.co.th/news/politic/2363296
2022,Apr,การเมือง,นายกฯ,พท.ชี้'แพทองธาร'จะเป็นแคนดิเดตนายกฯไม่ใช่เรื่องแปลกเหตุมีความรู้ความสามารถ,2022-04-25,VoiceTV,https://voicetv.co.th/read/roEWyK0Xy
2022,Apr,การเมือง,ผู้ว่าฯกทม.,"""ชัชชาติ""ลั่นข่าวปลอมตั้งรายชื่อรองผู้ว่าฯกทม.โยงถึงเพื่อไทยของดส่งต่อ",2022-04-16,ไทยรัฐ,https://www.thairath.co.th/news/politic/2369335
2022,Apr,การเมือง,ผู้ว่าฯกทม.,สุชัชวีร์ลงพื้นที่ตลาดเคหะสุขสวัสดิ์38บอกมีความตั้งใจดูแลคนกรุงเทพฯย้ำพร้อมชิงเก้าอี้ผู้ว่าฯกทม.หลังลงพื้นที่ครบ50เขต,2022-04-01,The Standard,https://thestandard.co/bkk-election-2022-suchatchavee-suwansawas-2/
